CPU (%),Memory (MB),Disk (MB/s),Network (Mbps),Files Created,Files Deleted,Files Renamed,is_ransomware
51.34,4139.46,12.01,3.08,90,16,97,0
47.19,773.61,0.79,1.61,6,75,43,0
61.47,2614.95,11.85,4.39,81,42,18,0
56.39,3169.5,0.92,1.2,20,96,54,0
76.54,11844.7,317.56,70.58,590,143,771,1
95.52,7125.3,72.26,73.19,701,751,651,1
14.57,4678.37,4.97,4.69,8,60,46,0
14.48,2344.04,5.3,0.28,97,18,90,0
81.9,10968.41,201.6,83.68,512,677,121,1
31.7,1730.62,12.37,0.42,25,99,4,0
85.25,10629.57,397.82,56.49,722,970,505,1
69.01,1586.07,4.44,4.16,34,69,75,0
49.43,3749.17,11.39,0.8,62,28,68,0
65.08,3599.26,2.99,4.46,95,39,69,0
81.18,15113.62,181.24,10.76,635,272,513,1
73.31,7341.73,485.35,35.49,418,641,627,1
25.59,2315.21,9.37,2.7,89,80,79,0
99.23,7686.4,219.06,84.09,963,495,640,1
65.71,2809.96,7.3,0.35,63,84,29,0
40.73,1334.12,3.59,1.22,66,33,36,0
50.34,3038.65,12.38,1.06,45,72,86,0
54.93,936.13,9.91,0.34,21,86,23,0
89.91,14852.34,150.7,48.07,790,634,471,1
20.7,775.04,11.24,0.81,64,62,24,0
62.9,737.28,13.53,4.27,86,58,79,0
25.23,1432.3,9.2,1.9,87,23,18,0
7.91,2080.92,12.38,0.72,73,16,71,0
51.05,1179.92,9.19,2.42,15,43,72,0
24.99,1185.67,9.19,4.24,99,7,10,0
96.44,11406.0,419.35,68.15,606,785,369,1
72.08,9375.55,399.05,43.29,156,115,686,1
78.38,13825.93,21.03,42.19,469,918,977,1
39.66,717.67,1.17,2.9,95,36,58,0
88.11,6617.01,167.23,56.16,486,193,980,1
58.69,134.62,10.24,1.78,60,46,63,0
99.02,11651.02,472.62,85.44,625,844,181,1
72.2,10783.89,203.8,30.77,826,771,446,1
79.78,13647.96,263.67,37.91,104,518,611,1
64.24,4675.52,9.43,0.97,33,7,3,0
70.81,8617.79,287.01,94.37,276,813,727,1
38.45,3917.51,7.07,2.99,57,70,87,0
92.86,7238.13,426.91,53.27,871,573,311,1
82.31,15298.92,245.59,4.27,540,164,239,1
75.94,10865.46,323.09,82.62,819,563,731,1
90.36,8289.48,176.27,14.99,363,169,313,1
28.06,922.94,9.66,3.51,68,16,68,0
40.14,2448.03,9.64,1.9,29,32,20,0
93.87,7594.11,66.05,30.38,686,510,132,1
73.37,6271.86,101.92,97.75,384,887,813,1
93.2,8736.71,275.1,61.68,602,983,883,1
54.63,572.12,3.4,2.5,62,78,2,0
81.35,8910.83,353.66,81.07,142,106,932,1
92.06,6177.26,499.54,25.26,239,198,423,1
41.79,775.92,4.92,0.75,11,61,45,0
90.73,9052.64,201.83,49.46,237,976,586,1
99.7,15970.68,410.68,28.2,226,722,238,1
85.35,14716.21,435.73,63.69,431,823,516,1
95.44,8322.04,461.34,59.63,818,612,268,1
44.05,3356.46,2.65,4.64,46,21,53,0
83.48,8125.44,274.0,89.1,161,260,146,1
52.79,5761.6,0.6,0.14,46,68,17,0
87.7,13153.41,19.72,4.95,847,607,351,1
70.66,11839.44,169.54,30.64,540,616,267,1
91.89,7019.39,310.25,16.5,512,668,645,1
94.35,8503.4,374.54,39.91,715,601,622,1
76.33,7780.74,489.09,3.21,432,814,434,1
59.48,2216.11,4.57,2.74,81,12,97,0
56.76,1538.67,3.39,4.58,32,21,79,0
15.58,507.35,2.78,4.56,48,3,7,0
46.47,213.07,8.67,4.83,18,29,48,0
79.66,9900.26,44.9,26.63,814,806,244,1
74.28,8077.94,226.93,44.63,768,321,997,1
64.81,1705.27,13.53,3.73,25,62,34,0
4.42,4789.67,14.6,4.51,17,99,27,0
38.25,1051.59,1.73,0.89,8,68,35,0
45.05,1109.59,3.23,4.82,48,50,70,0
84.87,13898.22,85.01,38.49,406,514,947,1
50.1,1174.71,1.08,0.62,35,71,63,0
90.4,8774.26,177.43,92.19,806,825,835,1
62.46,2670.26,14.88,2.41,39,12,42,0
93.67,12270.7,284.12,17.66,230,834,407,1
63.88,5863.56,14.82,1.43,75,28,78,0
27.79,3572.88,3.24,2.67,34,19,52,0
39.14,724.62,13.14,4.36,57,38,4,0
87.41,13288.75,384.43,7.27,906,266,502,1
90.46,9249.13,237.12,4.76,331,991,813,1
83.53,13290.52,86.83,38.17,321,564,155,1
6.31,5464.06,12.11,1.88,26,10,55,0
44.81,3031.44,0.08,4.68,72,65,84,0
4.67,3941.02,9.61,4.3,92,97,52,0
68.44,1903.27,4.28,0.44,84,58,72,0
76.68,12164.17,124.02,44.0,295,428,594,1
82.73,12190.08,281.8,24.56,148,746,624,1
20.19,2450.11,9.42,4.36,60,90,56,0
44.53,3461.4,3.26,3.3,71,33,26,0
76.13,7975.06,243.92,82.74,456,384,406,1
87.78,13535.03,408.78,11.36,447,390,854,1
30.85,4877.13,7.17,4.37,90,38,78,0
88.23,13164.63,267.21,33.16,129,123,400,1
92.84,11380.86,96.59,21.19,715,857,158,1
8.91,5938.97,14.92,0.26,72,27,81,0
3.57,3623.46,1.58,2.33,18,90,99,0
25.59,4726.3,12.35,0.24,18,72,82,0
35.34,5660.31,12.01,0.01,21,10,12,0
95.97,7020.72,18.93,39.31,648,591,997,1
83.58,8488.63,178.81,5.47,129,227,998,1
74.9,14663.7,349.65,67.14,594,161,304,1
70.61,12101.86,425.78,52.85,530,867,254,1
17.67,3419.86,3.52,4.23,9,60,45,0
30.35,2214.19,1.8,0.94,62,6,67,0
7.16,1628.84,0.94,3.92,32,29,26,0
53.21,4788.63,7.62,3.81,55,6,0,0
89.25,10681.21,182.29,11.96,960,189,154,1
85.83,11767.58,296.05,62.19,343,531,318,1
70.94,10449.45,421.11,71.26,772,477,173,1
81.78,12709.56,64.36,56.68,826,359,288,1
34.52,3434.56,12.23,3.19,48,25,59,0
40.33,710.34,13.24,0.66,39,28,54,0
38.88,5401.44,5.1,0.0,64,42,85,0
74.81,10928.22,416.17,89.36,232,768,694,1
8.01,217.61,9.28,1.4,82,74,40,0
78.37,12145.44,301.95,60.15,922,990,500,1
43.3,3482.17,2.34,1.54,61,17,8,0
75.74,7596.56,275.52,84.2,762,562,632,1
68.17,1771.96,7.66,1.34,23,72,33,0
17.72,5885.01,2.4,1.02,73,100,59,0
12.56,837.3,14.63,4.05,41,46,24,0
77.93,15780.92,189.39,49.83,972,384,105,1
49.23,1388.94,14.95,2.48,31,22,5,0
16.59,4316.63,4.66,2.54,31,84,51,0
82.38,12640.62,173.82,19.26,247,212,224,1
54.04,5156.19,10.85,1.25,93,32,26,0
16.18,4182.54,8.66,2.19,39,63,98,0
58.11,3587.06,8.76,1.45,87,47,32,0
79.45,10002.68,346.11,30.94,173,600,116,1
82.98,15606.95,451.41,11.33,512,225,567,1
2.47,3569.13,2.84,3.67,11,92,51,0
96.95,12509.9,492.23,37.56,532,758,720,1
85.87,8636.29,18.82,14.59,292,514,241,1
80.69,9872.74,431.56,73.77,487,229,203,1
65.14,5162.6,13.31,1.67,55,41,52,0
81.46,11738.94,219.69,88.02,659,993,822,1
96.3,8350.05,319.27,40.49,217,467,240,1
76.4,9093.14,231.96,94.69,834,827,327,1
59.9,3464.43,3.95,4.4,38,92,99,0
91.42,10148.84,459.25,22.89,652,420,302,1
73.09,14227.98,241.97,78.66,963,730,196,1
95.78,10766.44,485.36,32.1,664,265,303,1
84.32,11590.2,496.37,22.69,453,948,177,1
97.22,12735.43,92.4,19.13,161,339,875,1
34.26,561.76,8.04,2.77,40,76,13,0
95.69,7468.77,464.31,26.52,277,349,643,1
87.76,8546.79,280.56,82.21,110,939,746,1
77.21,14720.15,288.96,91.37,694,499,895,1
97.62,12618.72,280.36,90.97,707,528,130,1
46.51,3850.23,7.12,4.39,84,42,39,0
84.92,10656.65,279.6,40.09,483,688,183,1
84.06,14796.23,25.73,28.38,407,668,202,1
36.64,463.43,7.18,2.6,39,22,40,0
89.23,13646.17,63.1,71.95,757,356,896,1
1.25,5753.08,9.33,0.2,85,16,2,0
78.76,7909.72,472.97,51.19,465,913,486,1
90.68,10381.05,317.44,49.42,974,865,365,1
97.93,11651.14,298.75,29.9,578,851,984,1
51.92,4315.43,1.02,4.65,75,95,82,0
91.01,11925.28,268.55,13.87,616,226,130,1
74.06,12127.45,97.72,37.15,451,313,839,1
47.2,5788.04,6.88,4.42,21,33,6,0
88.13,8330.45,250.62,15.61,800,670,672,1
58.09,4376.64,10.47,2.75,51,74,83,0
48.18,1335.0,7.53,4.85,41,1,75,0
28.28,5364.11,9.96,1.81,89,2,92,0
16.07,3458.5,6.47,4.65,21,5,63,0
77.12,13134.99,153.23,58.52,880,894,972,1
88.84,14822.95,280.64,50.95,786,979,473,1
62.34,2549.92,0.48,0.33,1,64,23,0
18.15,1471.63,6.62,2.09,50,25,37,0
72.03,6315.26,42.32,64.7,718,969,340,1
19.89,981.46,7.63,4.04,5,38,90,0
73.15,14150.34,342.33,57.2,264,529,862,1
75.04,12613.64,293.96,72.66,712,257,327,1
43.69,690.28,11.1,0.45,92,50,61,0
97.9,11519.35,36.92,63.22,648,819,815,1
12.09,4646.85,7.7,4.77,87,70,19,0
4.05,3449.78,5.85,1.68,98,70,57,0
67.24,3493.49,10.13,3.4,1,48,4,0
15.86,4998.03,12.16,1.77,59,25,8,0
94.92,12199.25,321.21,27.99,690,912,155,1
43.23,5827.99,13.94,0.54,13,17,61,0
53.05,2341.83,12.26,0.75,35,50,76,0
84.28,14927.06,108.89,71.97,299,270,742,1
32.79,2441.9,14.79,2.19,65,71,6,0
66.38,4598.29,7.79,0.87,28,16,56,0
97.72,10107.13,306.6,41.55,355,758,401,1
74.41,13577.44,70.52,33.1,947,130,315,1
96.08,14320.09,126.2,50.53,326,964,589,1
77.64,10184.74,219.94,3.11,795,329,411,1
72.23,7899.54,205.26,32.72,350,849,198,1
94.37,11076.12,227.2,19.82,547,805,515,1
84.3,11339.74,400.5,93.67,483,172,650,1
48.01,2664.06,7.69,3.08,29,53,69,0
8.67,840.54,5.94,2.07,7,52,71,0
92.11,15705.55,414.83,60.48,788,297,947,1
39.53,240.68,0.6,1.19,16,95,54,0
21.25,2885.11,2.45,2.18,5,34,57,0
55.44,4430.51,9.05,2.95,31,57,31,0
83.12,13267.44,362.4,18.56,505,244,613,1
72.21,15555.83,164.37,83.22,738,118,945,1
5.06,1134.22,1.92,0.73,16,4,82,0
23.78,1212.47,0.3,0.96,28,98,82,0
92.65,11291.76,322.4,23.49,330,963,232,1
67.59,654.8,0.05,2.94,61,32,52,0
89.89,11018.66,165.22,79.64,391,445,301,1
82.08,8042.64,172.65,32.73,866,586,942,1
2.29,4051.55,6.35,4.84,92,66,10,0
24.32,2222.79,4.88,3.34,46,77,41,0
70.59,10865.43,461.73,85.75,896,874,738,1
43.82,98.72,1.14,0.56,9,88,22,0
10.69,5808.98,13.87,4.58,4,11,32,0
32.88,2024.29,7.05,0.83,37,54,95,0
82.97,10159.39,182.84,51.5,346,478,766,1
8.57,173.28,2.9,0.58,67,67,80,0
74.25,11720.55,223.52,46.77,519,729,818,1
90.8,10742.51,137.61,51.16,640,740,136,1
0.02,2574.46,6.97,2.73,21,77,90,0
7.25,3358.28,11.55,0.69,97,91,28,0
96.75,8081.26,137.58,99.42,495,685,595,1
20.14,358.59,5.8,1.2,54,52,45,0
78.21,7436.3,470.5,46.32,504,387,879,1
48.81,2601.74,12.63,3.29,100,60,27,0
59.58,4248.71,4.88,1.03,32,92,66,0
91.92,14320.39,72.79,76.92,624,105,544,1
17.37,2413.56,3.87,0.19,96,17,67,0
78.57,6606.05,478.36,90.35,399,155,805,1
